Masa muestra;;;9,4665;2,6;;;;EDTA trazable;;;;;;9.5 mL buffer 1 M;;
;;;4,522678369;4,568361989;;;;Tip de 5000 uL con punta de 10 uL incolora;;;;;;220 uL tartrato 1M;;
masa;potencial;;;0,482581946;4,5807;1,002700752;;electrodo de referencia doble con adaptaci’on de altura;;;;;;;;
0;-168;;;;;;;Potencial medido con titrino plus 848;;;;;;;;
4,5237;-196;;4523,7;-0,006189624;;;;agitador en velocidad 8;;;;;;;;
4,5344;-199,2;;10,7;-0,299065421;;;;;;;;;;;;150,0878
4,5452;-203,2;;10,8;-0,37037037;;;;;;;;;;;;1.501.491
4,5561;-210,1;;10,9;-0,633027523;;;;;;;;;;;;133,0613
4,5598;-213,3;;3,7;-0,864864865;;;;;;;;;;;;
4,5631;-216,5;;3,3;-0,96969697;;;;;;;;;;;;
4,5677;-221,3;;4,6;-1,043478261;;;;;;;;;;;;
4,5723;-225,6;;4,6;-0,934782609;;;;;;;;;;;;
4,5759;-227,8;;3,6;-0,611111111;;;;;;;;;;;;
4,5807;-237,4;;4,8;-2;;;;;;;;;;;;
4,5848;-244,5;;4,1;-1,731707317;;;;;;;;;;;;
4,5897;-246,9;;4,9;-0,489795918;;;;;;;;;;;;
4,6005;-249,2;;10,8;-0,212962963;;;;;;;;;;;;
